Image: 10_10_r_1, x_automatico: 630, y_automatico: 468, x_manual: 633, y_manual: 452, Mse: 132.5
Image: 10_1_r_1, x_automatico: 635, y_automatico: 520, x_manual: 645, y_manual: 506, Mse: 148.0
Image: 10_2_r_1, x_automatico: 525, y_automatico: 445, x_manual: 538, y_manual: 431, Mse: 182.5
Image: 10_3_r_1, x_automatico: 580, y_automatico: 390, x_manual: 590, y_manual: 367, Mse: 314.5
Image: 10_4_r_1, x_automatico: 598, y_automatico: 442, x_manual: 607, y_manual: 427, Mse: 153.0
Image: 10_5_r_1, x_automatico: 575, y_automatico: 415, x_manual: 564, y_manual: 407, Mse: 92.5
Image: 10_6_r_1, x_automatico: 575, y_automatico: 505, x_manual: 579, y_manual: 506, Mse: 8.5
Image: 10_7_r_1, x_automatico: 590, y_automatico: 422, x_manual: 591, y_manual: 407, Mse: 113.0
Image: 10_8_r_1, x_automatico: 525, y_automatico: 372, x_manual: 528, y_manual: 349, Mse: 269.0
Image: 10_9_r_1, x_automatico: 572, y_automatico: 415, x_manual: 575, y_manual: 403, Mse: 76.5
Image: 11_10_r_1, x_automatico: 465, y_automatico: 178, x_manual: 466, y_manual: 160, Mse: 162.5
Image: 11_1_r_1, x_automatico: 420, y_automatico: 175, x_manual: 413, y_manual: 169, Mse: 42.5
Image: 11_2_r_1, x_automatico: 435, y_automatico: 200, x_manual: 430, y_manual: 195, Mse: 25.0
Image: 11_3_r_1, x_automatico: 450, y_automatico: 245, x_manual: 452, y_manual: 225, Mse: 202.0
Image: 11_4_r_1, x_automatico: 502, y_automatico: 218, x_manual: 498, y_manual: 205, Mse: 92.5
Image: 11_5_r_1, x_automatico: 395, y_automatico: 282, x_manual: 395, y_manual: 268, Mse: 98.0
Image: 11_6_r_1, x_automatico: 392, y_automatico: 288, x_manual: 285, y_manual: 288, Mse: 5724.5
Image: 11_7_r_1, x_automatico: 382, y_automatico: 202, x_manual: 383, y_manual: 187, Mse: 113.0
Image: 11_8_r_1, x_automatico: 340, y_automatico: 232, x_manual: 341, y_manual: 230, Mse: 2.5
Image: 11_9_r_1, x_automatico: 360, y_automatico: 258, x_manual: 359, y_manual: 225, Mse: 545.0
Image: 12_10_r_1, x_automatico: 420, y_automatico: 268, x_manual: 423, y_manual: 248, Mse: 204.5
Image: 12_1_r_1, x_automatico: 325, y_automatico: 438, x_manual: 331, y_manual: 423, Mse: 130.5
Image: 12_2_r_1, x_automatico: 322, y_automatico: 370, x_manual: 319, y_manual: 367, Mse: 9.0
Image: 12_3_r_1, x_automatico: 348, y_automatico: 345, x_manual: 344, y_manual: 325, Mse: 208.0
Image: 12_4_r_1, x_automatico: 438, y_automatico: 290, x_manual: 422, y_manual: 270, Mse: 328.0
Image: 12_5_r_1, x_automatico: 290, y_automatico: 368, x_manual: 286, y_manual: 365, Mse: 12.5
Image: 12_6_r_1, x_automatico: 472, y_automatico: 262, x_manual: 473, y_manual: 256, Mse: 18.5
Image: 12_7_r_1, x_automatico: 390, y_automatico: 260, x_manual: 358, y_manual: 250, Mse: 562.0
Image: 12_8_r_1, x_automatico: 442, y_automatico: 290, x_manual: 443, y_manual: 274, Mse: 128.5
Image: 12_9_r_1, x_automatico: 448, y_automatico: 250, x_manual: 455, y_manual: 244, Mse: 42.5
